careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,num_skills,num_past_jobs
"['Btech: Food Technology', 'National Diploma: Food Technology', 'Senior Certificate']","[u'Cape Herb & Spice', u'Greys Marine', u'Heinz Foods', u'Swift Silliker', u'Zemcor']","['Food technologist', 'New product development', 'auditor', 'inspections']","['Marketer & Technical Liaison', 'Quality Assurance Manager Haccp Team Leader', 'New Product Developer Technologist', 'Food Technologist', 'Quality Controller']",892,"['Food Technologist', 'Product Specialist Microbiology']","['Microbiology', 'microsoft powerpoint', 'microsoft office', 'microsoft excel', 'microsoft project management', 'Microsoft word', 'Outlook', 'Internet explorer', 'Marketing/Sales', 'Quality Control', 'Quality Assurance', 'Research and development', 'Problem solving']",0.05485232067510548,0.2
"['B.Econ', 'Grade 12/Matric']","[u'Careerjunction', u'Gijima', u'Lateral Dynamics', u'Leisurebooks', u'Mixtelematics', u'Private', u'Return True']",[],"['Senior Developer', 'Senior Developer', 'Senior Developer', 'Senior Developer SNR Developer', 'Senior Developer']",879,"['Senior Developer', 'Senior Developer']","['MVC5', 'JQuery', 'C#', 'BootStrap', 'REST Services', 'EntityFrameWork 6', 'SQL Databse Development', 'SSRS', 'SSIS']",0.03797468354430379,0.2
"['Bsc in Computer Systems', 'Higher National Diploma in Information Technology', 'Senior Certificate']","[u'Bruce Records Studio', u'Crystal MAP']","['Web Developer', 'Application Developer', 'C# Developer']",[],981,['Junior Developer'],"['C# Developer', 'MYSQL', 'PHP', 'javascript', 'CSS3', 'HTML5', 'wordpress', 'AJAX', 'RDBMS', 'Magento', 'C++ Developer', 'JAVA Developer']",0.050632911392405056,0.0
['Advanced Diploma In Computer Science'],"[u'Dynamic Data', u'Exor Petroleum']",[],[],248,['Programmer Technician'],"['Programming', 'Technical Support']",0.008438818565400843,0.0
['Mobile develipment'],[u'MCA Consulting'],['Analyst'],[],37,[],"['Java', 'delphi', 'Excel', 'excel', 'Bloomberg']",0.02109704641350211,0.0
"['Btech', 'National Diploma in IT']","[u'Accenture', u'HSRC']","['Software Tester', 'Business Analyst', 'Developer']",[],1075,['Intern'],"['communication skills', 'Microsoft office', 'MVC', 'JavaScript', 'css', 'codeigniter', 'html', 'PHP', 'Microsoft excel', 'Photoshop', 'java']",0.04641350210970464,0.0
"['Architecting on AWS (Associate)', 'AWS Technical Essentials', 'National Diploma (Information Technology) - Incomplete', 'Standard Java Specialist Course', 'Fundamentals Of Ms Visual Basic 6', 'Mastering Web Application Development Using Ms Vi6', 'A+', 'Grade 10']","[u'Nu-Era Tool &amp; DIE', u'ICM International', u'Saon Group', u'Careerjunction', u'Ipulse Systems', u'Genox', u'Commuter Transport Engineering', u'Fastnet (Telkom)']","['Software Architect', 'Python Developer', 'Senior Python Developer']","['Senior Developer', 'Senior Developer', 'Developer', 'Developer', 'Web Development', 'System Administrator', 'Apprentice Toolmaker']",879,"['Senior Python Developer', 'Systems Developer']","['PHP', 'SQL', 'Javascript', 'Linux', 'Python', 'PostgreSQL', 'AWS', 'Embedded Linux', 'GIT', 'SOA', 'HA Proxy', 'Gerrit', 'Sentry', 'C', '.Net', 'AWS RDS', 'Java SE', 'Java ME', 'C#', 'MySQL', 'MS SQL Server', 'EC2']",0.09282700421940927,0.28
"['Honours Bachelor of Science in statistics', 'Bsc']","[u'Experian', u'Statistics South Africa', u'University of South Africa (UNISA)']","['Analyst', 'Data Analyst', 'Test Analyst', 'Test Management']","['Academic and Research Assistant', 'Assistant Statistical Officer']",692,"['Quality Assurance Test Analyst', 'Survey Statistician']","['Test Management', 'sas', 'Open Office', 'Microsoft Office', 'Project Management', 'SQL']",0.025316455696202528,0.08
"['Van Zyl And Pritchard Passed With A Symbol', 'B.Sc', 'Matric Exemption']","[u'Bull Computers', u'Comparex Africa', u'Liberty Life', u'The Empl Bureau of Africa']",[],['Computer Programmer'],988,"['Programmer', 'Programmer']","['Adabas', 'Debugging', 'Natural', 'jcl', 'Cobol', 'Unix']",0.025316455696202528,0.04
"['Technical Support', 'Matric']","[u'Old mutual', u'Secondary school']",['IT Support Assistant'],[],486,['Administrator PA'],"['Emails', 'reviews', 'files', 'Typing', 'Personally to adapt', 'Ambitious', 'Computer literacy']",0.02953586497890295,0.0
['BA'],"[u'Beauty Craft', u'Dave X Labs', u'Linq Hair Care', u'Self', u'Self- Www.Beachwatch.Co.Za', u'Sexy Hair Concepts']",['Business development manager'],"['Sales and Marketing Director', 'Mid West Regional Sales Director', 'Sales Consultant', 'Junior Sales Consultant']",262,"['Managing Director', 'Mid West Sales Director']","['Word, Excel, Power Point']",0.004219409282700422,0.16
"['Oracle 10g Database Administrator Oca', 'Oracle Database Sql Expert', 'Information Technology', 'Computer Literacy', 'Matric']","[u'Adapt IT', u'Bauer & Partners', u'Berea Technical College', u'Conference Communications', u'DA House Internet Cafe', u'South African Revenue Service (SARS)', u'TMT Services']","['Database Developer', 'Oracle Apex Developer', 'Database Analyst', 'Oracle Apex Developer', 'Database Analyst']","['Technician', 'Imaging Technician', 'Technician', 'Host']",645,"['Call Center Agent', 'Oracle DBA']","['Oracle Pl/Sql', 'Database Desing, Implementation And Management', 'Oracle Sql', 'Computer Skills (Hardware, Software, Networking)', 'Microsoft Sql Server', 'Graphic Design', 'Sound Systems', 'C#']",0.03375527426160337,0.16
['software development diploma'],"[u'Elcb', u'Real People']",['Software developer'],[],262,['Programmer'],"['Analitcal skills', 'Mentoring new developers', 'Problem sloving', 'C#', 'reporting', 'MS SQL', 'ssis', 'Training', 'Testing', 'ASP.NET', 'MVC', 'JAVASCRIPT', 'CSS']",0.05485232067510548,0.0
"['Bsc Computer Science And Information Systems', 'Grade 12']","[u'Nimbletech', u'Saab Grintek Defence']","['java programmer', 'computer science']",[],525,['Graduate Software Engineer'],"['Java Developer', 'Java Programming(SE & EE)', 'Mysql', 'Network connectivity,FTP,TCP', 'css', 'html', 'vaadin', 'jsp', 'javascript', 'hibernate', 'python', 'C#', 'jason', 'ajax', '.NET']",0.06329113924050632,0.0
"['BTech Degree - ICT', 'National Diploma']","[u'Anglo American Platinum', u'Gijima', u'ICT Worx']","['Software Developer', 'Business Analyst', 'Business Systems Analyst', 'Software Architect']",[],114,"['Java Developer Intern', 'Field Support Engineer']","['ASP .NET \uf06c', 'java', 'Oracle \uf06c', 'Gradle \uf06c', 'Microsoft Office', 'CSS', 'Visual paradigm', 'Microsoft Visio']",0.03375527426160337,0.0
['National Diploma Computer Science & Systems Engineering'],"[u'Emid', u'KPMG']",['Senior Developer'],[],879,['Senior Developer'],"['Software Development', 'Data', 'Project management', 'Analytics', 'SQL']",0.02109704641350211,0.0
"['BSc Infomatics', 'MCSD']","[u'Carab Tekniva', u'TV Buddies']","['junior software developer', 'Intermediate Developer']",[],521,['Technician'],"['Java', 'VBA', 'C#', 'Javascript', 'Excel', 'html', 'MVC', 'css', '.NET', 'SQL', 'Python', 'C++', 'Rapid Prototyping', 'Communication', 'Leadership', 'Meeting deadlines', 'Customer servece', 'PHP']",0.07594936708860758,0.0
"['B.Sc', 'Senior Certificate']","[u'Aircom International', u'Telkom']",['Software Developer'],[],936,['Software Developer'],"['SQL', 'Pl/Sql', 'Oracle', 'Pro C', 'PHP', 'Unix', 'Python', 'Borland C++']",0.03375527426160337,0.0
"['Certified ScrumMaster (CSM)', 'Business Analysis Diploma']","[u'Accenture', u'Avanade', u'BSI Steel', u'DVT', u'investec', u'Private Practice', u'Standard Bank of (Sbsa)']","['BI Consultant', 'BI Architect']","['BI Developer', 'BI Consultant', 'BI Specialist', 'Senior Business Process Analyst']",462,"['Microsoft Senior BI Developer', 'BI Consultant']","['Detailed', 'quick learner', 'methodical', 'analytical', 'See attached CV']",0.02109704641350211,0.16
"['Project Management', 'Vb 6 Programming']","[u'Council for Scientific & Industrial Research (CSIR)', u'Debisit', u'El-Ozi', u'Faranani IT Services', u'Self']",[],"['Technician', 'Call Center', 'Consultant', 'Junior Developer and Technical Support']",1086,"['Project Manager', 'Field Support Technician']","['Microsoft Office', 'Computer Hardware', 'Troubleshooting', 'Configuration Management', 'Database Administration', 'Backup', 'Operating Systems', 'Problem Solving', 'Networking', 'Change Management', 'Technical Training', 'Database Design', 'Business Process', 'Quality Control', 'Network Support', 'Disaster Recovery Planning', 'Microsoft Windows 2000', 'Microsoft Office 97', 'Microsoft Windows 98', 'Sales Support', 'Purchasing', 'Technical Support', 'Online Research', 'Call Center', 'Dispatching', 'Programming', 'C + +']",0.11392405063291139,0.16
"['Diploma in Investment Analysis and Portfolio Analysis', 'ITIL Foundation', 'Sun Certified Programmer, Std Edition 6.0', 'Programming In Java (5 Days)', '12:    Bsc Information Technology (Business Comput', 'Cobol Fast Track Course (5 Days)', 'Matric Exemption']","[u'Accenture', u'Department of Computer Scince(Uct)', u'Devstream / Tradestream - AN RMB Initiative', u'Falcorp Technologies', u'FNB', u'Gijima AST', u'Standard Bank', u'University of Cape Town', u'Veneka']","['Developer', 'Analyst Programmer', 'Analyst', 'Team Lead']","['Technical Consultant', 'Software Engineer', 'Analyst Programmer', 'Trainee Programmer', 'Computer Science Course Tutor', 'Computer Science Course Tutor Java Course']",711,"['Java Developer', 'Developer']","['SVN', '.NET', 'SQL', 'Cobol', 'jcl', 'Java', 'Linux', 'Jruby', 'C#', 'Cics']",0.04219409282700422,0.24
['Bsc Elec Eng (Telecom)'],"[u'Lithotech', u'Prism']",['Electrical Engineer in Telecommunications'],[],316,['Research & Development'],"['Java', 'C++', '3g/Hspa/Hspa+', 'Matlab', '4g/Lte/Wimax', 'Project Management', 'Verilog', 'Vhdl', 'Process Design']",0.03797468354430379,0.0
"['Certficate', 'Bachelor Of Technology : Chemical Engineering']","[u'Izazi Solutions', u'South African Port Operations', u'Toyota Motor Coparation']",[],[],8,"['ABAP Consultant', 'ABAP Developer']",['Abap Development Design And Analysis'],0.004219409282700422,0.0
"['Marketing Management', 'Veterinary Nursing - University Diploma', 'Matric - Passed with university exemption']","[u'Animal Anti-Cruelty League', u'Cape Veterinary Hospital', u'Charlene Hall Photography', u'Educat Publishers & Future 4 Kids', u'Farmkor Durbanville Diet Clinic', u'Intervet SA (Pty) Ltd', u'Kyron Laboratories', u'Lux Verbi Publishing', u'M.E.S. (Mould Empower Serve)', u""PDSA (People's Dispensary for Sick Animals)"", u'Total Veterinary Supplies (Heyns Matthew)', u'Various different veterinary practices']","['Sales Representative', 'Sales Consultant', 'Public Relations Officer', 'Account Executive', 'Key Account Manager', 'Practice Manager', 'Clinic Manager', 'Manager']","['Photographer', 'Sales & Marketing Representative', 'Locum nursing positions', 'Fundraising Coordinator', 'Fundraiser & PRO', 'Veterinary Nurse', 'Sales Representative and Area Supervisor Western Cape', 'Sales Representative Western Cape', 'Telesales Clerk', 'Locum positions']",185,"['Agent', 'Resource Developer (Public Relations Officer and Fundraiser)']","['Pharmaceutical', 'Practice Management', 'Clinic Management', 'Public Relations', 'Marketing', 'Key Account Management', 'Sales', 'Veterinary', 'Dietician', 'Account management']",0.04219409282700422,0.4
"['Togaf Cerfified', 'Management, Project Management', 'Compass Development', 'Oracle Designer', 'Oracle Database Administration', 'Oracle Developer', 'Oracle Pl/Sql', 'Advanced Oracle Pl/Sql', 'Unix Administration', 'Computer Programming', 'High School Education']","[u'Alexander Forbes (Technology Division)', u'Bytes Technology Group', u'Mcgregor BFA', u'Q Data Dynamique', u'South African Air Force', u'South African Revenue Service (SARS)', u'Sungard Insurance Systems']",['Executive/enterprise architecture'],"['Solutions Architect', 'Director New Development Software', 'Senior Developer R&D', 'Software Developer']",904,"['Software Architect', 'Team Development Manager Technical Specialist']","['Presentation Skills', 'Microsoft Sql Server', 'Taxation, Financial,Equity,Insurance,Pension/Provident Sys', 'Management', 'Visual Basic For Applications (Office Automation)', 'Visual Basic (Ver 2 Through .Net)', 'Systems Integration', 'Systems Design', 'Systems Analysis', 'Resource Planning', 'Project Management', 'Microsoft Sql Server T-Sql', 'Architectures - Ntier, Client Server Etc', 'Business Analysis', 'Development (Overall)', 'Asp Web Development', 'Architectures - Legacy Mainframe Etc', 'Windows Workstation, Servers', 'C# .Net', 'Ibm Db2', 'Asp.Net', 'Architectures - .Net Framework', 'Microsoft Sna/Host Integration Server', 'Microsoft Biztalk Server', 'Oracle Rdbms', 'Microfocus Cobol', 'Oracle Pl/Sql', 'Product Quality Assurance', 'Human Resource And Payroll Systems', 'Microfocus Dialogue Systems', 'Oracle', 'Oracle Pro/Cobol', 'Oracle Developer 2000', 'As/400 Os', 'Dec Vax Openvms', 'Microsoft Visual C++', 'Java Programming', 'Assembler', 'Oracle Designer 2000', 'Linux']",0.16877637130801687,0.16
"['Bcom (Information Systems) Incomplete', 'Microsoft Certified Application Developer .NET', 'Object Oriented Analysis And Design']","[u'Bluegrass Technologies', u'Eduflex.Com', u'Global Vision Information Technology', u'Mweb']",[],['Programmer'],262,"['Internet Developer Web Applications Developer', 'Internet Developer']","['CSS', 'Xhtml', 'Asp.Net', 'XML', 'C#', 'ASP', 'SQL', 'XSL', 'Javascript', 'Ajax', 'Vb.Net']",0.04641350210970464,0.04
['B.ENG'],[u'Sterling'],"['support', 'c#', 'sql', 'software']",[],991,[],"['BIZTALK', 'C#', 'CUSTOMER SERVICE', 'BI', 'SSIS', 'MVC', 'SQL', 'SSRS']",0.03375527426160337,0.0
"['Project Management', 'Java Developer', 'N.Dip: Engineer']","[u'Absa', u'ABSA', u'Absa Bank', u'ABSA Group', u'Barclays Africa', u'Grintek Telecoms', u'Momentum']","['Technical Manager', 'Voice Specialist', 'Intermediate Java Developer', 'IVR Developer', 'Voice', 'Telecommunication']","['Voice Specialist', 'System Developer', 'Voice Specialist', 'Junior Field Engineer']",1138,"['Java Developer', 'Manager']","['IVR', 'Nuance Product', 'java', 'communication skills', 'Voice Loggers', 'Manager', 'Avaya PABX', 'Specialist', 'Technical Support', 'Voice', 'Voice Biometrics', 'Avaya', 'Voice Specialist', 'NICE', 'Managerial', 'Nuance Voice Products', 'Software Design', 'Java']",0.07594936708860758,0.16
['Nc Multimedia'],"[u'Coca-Cola', u'(Coca-Cola) Peninsula Beverages', u'El Shaddia Promotions', u'Pres LES', u'TCC']","['Sales Manager', 'Area Manager', 'Key Account Manager', 'Regional Sales Manager', 'Sales representative']","['Account Developer Still Beverages', 'Brand Abassador Supervisor']",829,"['Promotions Coordinator', 'FMCG Sales Representative']","['MS word', 'Power point and MS Excell', 'MS PROJECTS', 'Communication', 'Interpersonal', 'Managerial', 'Photoshop', 'Telephonic Skills and leader ship skills']",0.03375527426160337,0.08
"['Hons Bsc It', 'Bsc It', 'Matric']","[u'Comcorp Online', u'Entelect', u'Hewlett Packard', u'Hollard Insurance', u'Nedbank']","['Software Developer', '.NET Developer', 'Team Lead', 'Solutions Architect', 'Senior Software Engineer']","['Computer Operations and Card Monitoring Clerk', 'Promotional Sales Marketing and Demonstrations']",1034,"['Team Lead', 'Software Developer']","['Product Owner', 'solutions architect', 'Team Lead', 'sql', 'asp .NET winforms', '.NET', 'leadership', 'analysis', 'architect', 'Scrum Master', 'Sql Server Reporting Services', 'Sql Server 2005', 'Asp.Net Webforms', 'Asp.Net Mvc', 'Wcf Services', 'Sql', 'Windows Services', 'SSIS', 'WCF', 'SOA', 'SSRS', 'SOAP', 'Sql Server Integration Services', 'C#', 'windows forms']",0.10548523206751054,0.08
"['B Com Hr', 'Certificate In Wealth Management', 'Senior Certificate']","[u'ABSA Brokers', u'Financial Management International', u'Liberty Life', u'Old Mutual Life Assurance', u'Professional Provident Society', u'Revolve Personal Advisors', u'Standard Bank']","['Human resource manager', 'human resource assistant', 'Administrator', 'Operations Manager', 'Financial Planner', 'Sales Manager', 'human resource assistant', 'Administrator']","['Financial Adviser', 'Financial Adviser', 'Learner Broker', 'Senior Business Developer', 'Administrative Assistant']",680,"['Member Consultant', 'Sales Agent']","['Needs Analysis', 'financial advice', 'customer services.', 'Internet', 'Front Office', 'spotlight', 'xplan', 'Microsoft Office ( Word, Excel, Powerpoint)', 'Various Insurance Companies Quotes Packages', 'Spotlight', 'Blueprint Online', 'Proplanner (Lifeplan)']",0.050632911392405056,0.2
['B.Com Economics'],"[u'Edcon', u'Edcon (Edgars)', u'J.V. Coll', u'Liberty', u'Old Mutual', u'Sanlam']",['management'],"['Financial Adviser', 'Department Manager', 'Operation Management Development Programme Trainee', 'Call Centre Agent Debt Collector']",127,"['Area Sales Manager', 'Relationship Manager']","['Mentoring', 'Presenting.', 'Team Building', 'Customer Service', 'Communication Skills', 'Analytical Skills', 'Marketing', 'Computer Skills']",0.03375527426160337,0.16
"['Attended Leadership Development Program (Nqf 5)', '2nd Year Bsc', 'Post Graduate Diploma In Theology', 'Bachelor Of Divinity', 'BA Degree', 'Matric']","[u'Constraint Technologies International', u'Digital Healthcare Solutions', u'Digital Healthcare Solutions (Qedi & Mediswitch)', u'Digital Healthcare Switch', u'Fujitsu Services', u'NG Church Goedvertrou', u'NG Church Mafikeng', u'NG Church Vaalpark', u'University of Pretoria']",['Software Developer'],"['Team Leader Analyst Programmer', 'Principal Software Developer', 'Developer Consultant', 'Minister and Freelance Software Developer', 'Minister and Freelance Software Developer', 'Minister', 'Senior Computer Operator', 'Student Computer Operator']",1009,"['Software Development Specialist', 'Software Development Specialist']","['IATA messaging and SSIM formats', 'C++', 'Chairing Meetings', 'Motivational Skills', 'Crystal Report Writer 5, 8.5', 'Visual Basic 6 And Other Versions', ""Xml (Dtd'S, Schema'S)"", 'HTML', 'PHP', 'Oracle 7/8/9/10g/11g', 'Soap development', 'Budgets', 'Accounting Up To Balance Sheet', 'Unix (Sun Solaris)', 'Facilitating', 'Cobol', 'Javascript', 'Windows 10', 'Linux (fedora/ubuntu)', 'UML']",0.08438818565400844,0.32
"['PROJECT MANAGEMENT PROFFESIONAL', 'Cobit5 Framework', 'Sharepoint Server 2013 Advance Solutions', 'Asp .NET 4.5 Mvc Web Applications', 'Sharepoint Server 2013 Core Solutions', 'Html5 With Javascript & Css3', 'Project Management In It Environment', 'Bsc Computer Science And Statistics', 'Grade 12']","[u'Absa', u'Mpilonhle', u'Nedbank', u'South African Revenue Service (SARS)', u'Umhlathuze Municipality']","['Business Analyst', 'IT Project Manager', 'Database Administrator']","['Cyber Cardet', 'Information Technology Coordinator']",55,"['Alchemy Senior Developer and MI Analyst', 'Web Developer']","['Cobit 5 Certificartion', 'SharePoint', 'MVC', 'CSS3', 'ASP.Net', 'Sharepoint', 'HTML5', 'Asp.Net', 'Css 3', 'Html 5', 'Business Analysis(Requrement Developing Functional Specifications Documents)', 'SQL', 'C#', 'Project Management', 'Visual Studio 2008,20010,2012', 'Qlikview', 'Asp.Net 4.5 Mvc']",0.07172995780590717,0.08
"['system development level 5', 'national diploma in information technology (communication networks)']","[u'communex technologies', u'i1 Solutions', u'momentum']",['software developer'],[],1194,"['Java developer', 'application developer']","['Java EE (restful APIS)', 'java and C#.', 'Microsoft office advanced word', 'DB2', 'ionic framework', 'GIT', 'mySQL', 'firebase', 'python', '2 and 4', ""Java EE (restful API's)"", 'excel', 'angular 1', 'html', 'Linux', 'PowerPoint and outlook. \r\nProgramming lalanguages:vb .NET', 'css', 'IT electronic :assembler language and networks']",0.07594936708860758,0.0
"['MSc. Information Systems Management', 'Itil Foundation V3', 'System Architect Certification', 'Togaf 8 Certified', 'Oracle Certified Professional', 'Systems Analysis And Programming', 'Bsc Electronic Engineering (Incomplete)', 'Senior Certificate']","[u'Accenture, Edcon Project', u'Alexander Forbes Technology', u'ICT Works', u'Iocore', u'Liberty Life', u'Standard Bank', u'Tangram', u'T-Systems']","['CIO', 'Head of IT', 'Chief Architect', 'Architect', 'IT Specialist']","['Group Strategist Business Architect', 'Enterprise Architect', 'Independent Consultant', 'Oracle Consultant', 'Reports Developer', 'Consultant']",410,"['Account Chief Technology Officer SNR Solution Architect', 'Manager Enterprise Architecture']","['Data', 'data science', 'Governance', 'forensics', 'architecture', 'analytics', 'strategic', 'Leadership']",0.03375527426160337,0.24
"['Marketing', 'Business administration and management', 'Assessors', 'Profibus networks', 'instruments', 'Science']","[u'Proconics', u'sasol', u'Sasol,Sasol']",['Learning and Development Manager or Lead HMI Engineer'],[],950,"['Senior training officer', 'Software Developer']","['managing automation college Africa', 'training', 'instrumentation', 'sales and client relations', 'software', 'HMI engineer', 'automation trainer', 'client skills', 'sales and training\n\nPeople skills\n\nAlways getting the best out of people', 'Sales\nMarketing \nResearch and development\nPeople development']",0.04219409282700422,0.0
"['bsc computer science honours', 'bsc computer science']","[u'ABM properties', u'Littlepig computing consulting', u'Makana app factory', u'Soveriegn foods uitenhage', u'university of Fort Hare']","['software engineer', 'java developer', 'SQL']","['Android application development intern', 'tutor']",1189,"['SQL developer intern', 'graphic design intern']","['SQL database design and development', 'networking', 'software engineering', 'css', 'bootstrap and jquery', 'android programming', 'proficient in Linux systems such as Ubuntu and Fedora', 'java', 'Microsoft office', 'C++', 'Javascript', 'jquery and css', 'Javascript and bootstrap', 'Computer networking', 'java programming', 'html', 'SQL', 'Basic Android programming', 'C#', 'database design and managment']",0.08438818565400844,0.08
['Senior Certificate'],"[u'Delco', u'UIF', u'Youi Australia']",['Business Developer/Sales/Marketing'],[],127,"['Sales Adviser', 'S Grade Iii Senior Admin Clerk Senior Administration']","['Sales', 'Sales and Marketing', 'A dedication to customer service', 'Empathy with their client', 'Long-term relationship-building skills', 'In-depth knowledge of the market']",0.025316455696202528,0.0
['Cobol Programming'],"[u'In-Depth Data', u'Mineworx International']",[],[],262,['Developer'],"['Vbscript', 'ASP', 'IIS', 'Javascript', 'Microsoft Access', 'SQL', 'VB', '.Net', 'Web Services', 'XML']",0.04219409282700422,0.0
"['Strategic & Tactical Sales', 'New Business Development', 'Entrepreneurship & Business Management', 'Major Account Sales Strategy', 'Business Negotiation', 'Consultative Selling (Spin)', 'Small Business Accounting', 'Entrepreneurship &Small Business Management', 'Law & Finance']","[u'Edata', u'Ideal Hardware PLC (Now Bell Microproducts)', u'Ince', u'James Franklin Industrial Property Brokers', u'Malt Whisky to Mexico', u'RMBT (Now Marriott Merchant Bank)']",[],"['Owner', 'Partner', 'Commercial & Industrial Property Broker']",413,"['New Business Developer', 'Account Manager']","['All Microsoft Office Products', 'Goldmine']",0.008438818565400843,0.12
"['Bachelor Of Arts: Communication Science', 'Certified Internet Webmaster (Ciw)', 'Web Developer', 'Matric']","[u'ABSA Bank', u'Apron Services', u'Bytes Technology Group (Outsourced by Saica)', u'DHL International', u'Fashion World', u'Jabula Supermarket', u'Quest', u'Saica', u'Standard Bank']","['Communication Manager', 'Senior Manager', 'Head of Communications', 'Content Manager', 'Communication Manager']","['Editor E-Communications', 'Member Communications Co-Ordinator', 'Web Designer Developer', 'Electronic Information Officer', 'IT Coordinator', 'Personal Assistant to the SAICA Board', 'Regional Personal Assistant', 'Personal Assistant', 'Personal Assistant', 'Cashier', 'Sales Assistant']",162,"['Online Communication Manager', 'Centre of Excellence Manager']","['Content Management', 'Online Communication', 'Social Media', 'Strategy', 'Crisis Management', 'Business Intelligence', 'Project', 'Business Communications', 'Brand And Reputation Management', 'Customer Relations', 'Project Management', 'Corporate Communications', 'Strategic Thinking And Planning: Internal Comms', 'Writing For Online And Printed Inhouse Publication', 'Online Advertising', 'Leadership', 'Budgeting']",0.07172995780590717,0.44
"['B Soc Sci (Information Technology)', 'Dip It (Programming)', 'Senior Certificate']","[u'Derivco', u'Independent Systems', u'Land Resources International', u'Leads 2 Business']","['Web Developer', 'ASP.NET Developer', 'C# Developer']",['Junior Software Developer'],1151,"['Intermediate Web Developer', 'Software Developer']","['Asp.Net Mvc', 'Java', 'ASP', 'VB', 'C#', 'Asp.Net', 'Jquery', 'nunit', 'xunit', 'Php']",0.04219409282700422,0.04
"['Bachelors Degree', 'Certificate']","[u'Pottershouse', u'UAC', u'Witveld IT Solutions']",[],[],925,"['Senior .NET Developer', 'Senior Programmer']","['Networking', 'Html', 'Jquery', 'Java', 'C#', 'C++', 'Javascript', 'VB.Net', '.Net Developer', 'System Administartor']",0.04219409282700422,0.0
['B.Tech: Information Technology'],"[u'Alacrity', u'Sebrio Consulting']","['IT Support', 'database administration', 'junior java developer', 'junior tester', 'data analyst', 'business intelligence analyst']",[],509,['Junior Cachè developer'],"['Microsoft office', 'team and individual player', 'Java', 'tomcat', 'REST', 'SQL', 'jpa', 'maven and db2', 'hibernate']",0.03797468354430379,0.0
"['CBAP', 'Ctt+ Qualification', 'Project Management Certification', 'Certiffcation', 'Certification', 'Microsoft Certified Technology Specialist', 'Csharp Certification', 'Borland Delphi Oop Certicate', 'Crystal Reports', 'Delphi 6 Certification', 'Delphi 8 Introduction', 'B Tech Computer Systems', 'It Management / Fucntional Management', 'Pic Micro Controllers']","[u'Apbco', u'Esteq', u'Exponant, Centurion', u'Guardrisk', u'Marion', u'Standard Bank', u'Wesbank Head Office']","['Business Analyst', 'Project Manager', 'Business Developer', 'Project Manager', 'Business Developer']","['Senior Business Systems Analyst', 'Business Analyst', 'Dev Coordinator Project Manager Business Developer', 'Lead Developer Project Analyst', 'Programmer Developer Analyst']",567,"['Director Business Consulting', 'Senior Business Analyst']","['business analysis', 'business analysi', 'CBAP', 'Programming', 'Sql Database', 'Delphi', 'Business Analysis', 'Development', 'Project Management', 'System Analysis', 'Communication', 'Architecture Tools - Uml Bpm Soa Babok Ect.', 'Itk Development', 'Sharepoint', 'It Functional Management']",0.06329113924050632,0.2
['Bsc (Hons) Computer Science'],"[u'Appcore', u'Izonehub', u'Multipay', u'Real People']","['BI Developer', 'Business Analyst', 'SQL Developer', 'SSIS']",['Analyst Developer'],199,"['Consultant', 'Project Manager']","['SSIS', 'MVC', 'SSAS', 'MS SQL Server Data Tools', 'MS Visio', 'EXCEL', 'C#', 'SQL', 'github', 'Javascript', 'heroku', 'html5', 'bootstrap', 'java', 'Ruby on rails']",0.06329113924050632,0.04
['Alberton Hoërskool'],"[u'Duraset', u'Proactive Insight']",[],[],1141,['Data Base Developer'],"['Microsoft Excel', 'Microsoft Office', 'Payday', 'Power Point', 'Naivision']",0.02109704641350211,0.0
['Diploma'],"[u'Cryptodyne Private', u'Globe Computer Systems', u'Media Solutions Private', u'Unilink International Private']",[],['Software Developer'],702,"['Team Leader Senior Software Engineer', 'Senior Software Developer']","['Develop & Design Software With Microsoft Vb', 'Microsoft Office Applications', 'Opearting Systems', 'Html, Xml', 'Design Database With Mssql 2000', 'Develop Web Pages With Asp', 'Java Script', 'Develop & Design Software With Microsoft Vc++', 'Windows 2000/2003 Servers', 'Develop Installations With Installshield']",0.04219409282700422,0.04
['B.Sc(Computers)'],[u'soulstice software solutions'],"['Java Developer', 'Intermediate Java Developer', 'Senior Java Developer']",[],485,[],"['angularjs', 'jquery', 'ejb', 'webservices', 'mysql', 'javamail', 'css', 'html5', 'java', 'java script', 'jms', 'j2ee', 'hibernate', 'struts', 'jpa', 'spring', 'web services']",0.07172995780590717,0.0
